Id,Price
4567,411699.5877010975
5925,337942.53531381185
960,323827.65731228905
3848,312807.01315647
746,368274.51521417696
868,423461.9096984295
672,322485.1007293103
2471,412007.8638599862
4510,289876.3373656612
8354,535187.5603122278
6393,390331.93051756575
13270,397597.25367995515
5250,360441.3718007184
16751,362364.3047607215
11404,331990.07474183565
10588,522960.0200124417
14925,424461.8423934831
6791,348520.9691440949
16097,357554.0380098167
16428,367594.1993212557
6945,364329.4164794731
3190,397597.25367995515
15709,349564.3152998645
13155,333669.78574247647
7675,433359.90675122663
14686,353780.4697522283
609,398148.8316234437
11155,415610.4051532628
10869,291589.441013463
15742,381897.2144855594
9245,354731.23286642536
3340,298326.86481621076
2359,360113.8289503427
8070,414030.7919464953
13707,340455.18830585864
16079,498289.3087978238
15937,523094.32698268397
14090,419654.389075013
9008,361196.19302518887
16384,323294.9244577111
11657,450049.65969514364
13151,401459.93189635064
8990,319338.7713299708
11857,440321.6028157823
1565,506893.97569438966
8174,319580.18029247184
9247,394651.8994091311
10478,297267.7295063268
15509,243971.41862118544
8306,540776.913555643
6642,322485.1007293103
7472,500587.02901814174
15989,323699.83593858127
13682,369091.5821147472
163,343640.7551481292
7076,333492.7564526226
7478,348459.92643151747
3029,313981.974402106
1814,368830.1066800592
10057,346088.9485554695
15100,315404.46070931695
12694,333523.8225950923
6291,479384.6176897126
12603,279824.97751034336
3218,390495.00790521974
13456,337444.7524803886
10170,270112.8250245247
4530,312679.2857638819
13329,329103.9648812304
4820,392554.66851842066
10896,334849.20645107154
13416,331990.07474183565
2701,368136.33739855693
11265,344978.33027263137
9189,545578.1403470525
1858,485818.17323480843
14536,380873.6562203546
6199,464961.22293692996
14730,384327.2695712945
7510,376820.0539481483
15505,517648.2681883901
7446,488281.5350962803
14016,472892.2299484525
14113,318573.16488476464
8721,365119.3887094646
6193,549433.9529309876
5717,329271.6950901622
5427,345308.7328929122
9520,354491.93216785166
6869,313254.921097898
1658,485164.7884626318
6639,367941.5025427742
6283,325231.6712900336
6257,334393.97525992955
15235,384700.5352814747
902,393965.18089403724
8932,335212.3416319744
16469,505325.4009748389
2825,461519.8153288932
6450,426036.27596029214
11366,271917.5323306468
3801,479384.6176897126
11385,540650.9183083036
1079,296382.6936914624
3202,482841.12653549796
676,485593.97695983277
6185,309654.19926333945
7730,417681.7591941446
2573,297195.73210819124
10978,350416.1805477013
10962,477731.0207840419
8870,546807.2049296543
8496,369177.5249164192
5517,500587.02901814174
927,438384.37763268553
13675,358656.28942969284
1499,325918.45251934376
15536,412886.2496485418
8602,490905.5574851708
12137,351808.2853417454
9865,540650.9183083036
16353,341903.84999401105
15908,546326.382591531
3944,336135.01525572524
10359,396491.27865605254
15158,483078.94418015453
3259,273677.40854243346
7220,387070.3795082327
13843,394651.8994091311
16736,389737.8567835285
702,376878.0690394979
16401,365368.2651746038
12134,471940.1219008514
6918,311802.3024509955
11792,321958.9323870067
3798,313982.55259900144
10395,288414.4572360789
11099,399099.9353907421
7090,371800.60508932883
11260,418613.30812461756
9647,319947.4685846562
2903,551118.5663469883
2071,336135.01525572524
8604,370752.97324629436
9346,507609.894716921
3945,518032.7979736928
3420,368901.68142781686
10842,338358.67680031253
725,326373.9704322981
13931,394651.8994091311
16330,329468.9638227306
9066,241550.03463247887
3326,275567.8567849436
1556,320738.22000284895
6579,240716.21258452098
13877,345044.8141994048
9857,267534.1091480186
7302,514740.3773770175
5684,544211.0818081402
6513,491041.2205569988
11342,328708.89546207286
16561,528207.2721443736
6885,464202.6636908927
9308,440257.38291682635
2559,333214.7819970591
6648,261208.82345452186
15260,515660.55930409394
5113,494549.0998139041
16492,396154.58111991803
12034,332833.8352458571
7248,426435.7743665944
2171,488006.1662189034
10594,252577.95052528687
13241,551253.6046302798
7032,455138.4655106886
4884,467942.9979532238
903,304011.69200974883
162,277835.79832095996
6566,383971.94340293884
8249,334092.521778082
13106,392205.65297423134
256,288414.4572360789
7976,325779.8110195052
8575,379679.40132011316
7591,340314.2056167701
3204,513345.3578476843
15804,356481.452291024
1525,313981.974402106
9038,352788.4192173002
13628,412646.56989032496
10016,376820.0539481483
10208,512372.32071675436
2008,450523.4587324023
13029,319672.1592785773
5099,288414.4572360789
9923,270137.707877991
9461,321827.2818101897
11086,366891.3021500776
15057,364069.188316768
10689,379679.40132011316
2053,405594.48237825854
16630,361196.19302518887
4985,312679.2857638819
13881,381134.15747539426
13225,396154.58111991803
5779,246654.7969951669
10262,315698.06575256266
10762,369037.47569746716
9513,293392.25462581037
11128,363206.86090613034
2074,464022.4297347337
933,453844.92709186394
2780,327675.0224231116
6594,267944.2788661287
15394,401075.0820334617
14863,355802.6909675604
6698,387695.9591829259
1611,368274.51521417696
174,325231.6712900336
5160,400843.9629845161
3295,456472.84231947426
